Order;Word;Frequency
910;shown;337
911;animal;336
912;ladies;336
913;lips;336
914;considered;335
915;ordinary;334
916;page;334
917;slight;334
918;thinking;334
919;wery;334
920;beauty;333
921;marrable;333
922;pay;333
923;inhabitants;332
924;ladyship;332
925;effort;331
926;religious;331
927;tupman;331
928;newt;330
929;start;330
930;turning;330
931;afraid;328
932;herbert;328
933;struggle;328
934;east;327
935;ebook;327
936;nine;327
937;opportunity;327
938;passage;327
939;washington;327
940;closely;325
941;ill;325
942;ain;324
943;national;324
944;regard;324
945;section;323
946;exclaimed;322
947;fight;322
948;repeated;322
949;tennessee;322
950;tone;322
951;corner;321
952;lieutenant;321
953;private;321
954;amount;319
955;birds;319
956;born;319
957;closed;319
958;covered;319
959;die;319
960;entirely;319
961;garden;319
962;refund;319
963;report;319
964;sufficient;319
965;domain;318
966;havisham;318
967;j;318
968;receive;318
969;authority;317
970;faith;317
971;stage;317
972;numerous;316
973;sudden;316
974;wrote;316
975;characters;315
976;equal;315
977;headquarters;315
978;occupied;315
979;progress;315
980;author;314
981;bank;314
982;exactly;314
983;raised;314
984;stone;314
985;dinner;313
986;filled;313
987;serious;313
988;throughout;313
989;directly;312
990;group;312
991;memory;312
992;post;312
993;stranger;312
994;cross;311
995;department;311
996;glad;311
997;mill;311
998;ah;310
999;difficult;310
1000;support;310
1001;7;309
1002;composer;309
1003;theory;309
1004;beneath;308
1005;opposite;308
1006;showed;308
1007;wonder;308
1008;marked;307
1009;race;307
1010;advantage;306
1011;associated;306
1012;moon;306
1013;walk;306
1014;piece;305
1015;write;305
1016;besides;304
1017;darkness;304
1018;paris;304
1019;remarkable;304
1020;extent;303
1021;genius;303
1022;tom;303
1023;engaged;302
1024;extreme;302
1025;limited;302
1026;members;302
1027;deal;301
1028;fresh;301
1029;holy;301
1030;island;301
1031;matters;301
1032;simple;301
1033;understood;301
1034;married;300
1035;peculiar;300
1036;danger;299
1037;expected;299
1038;immediate;299
1039;mountain;299
1040;hat;298
1041;school;298
1042;eat;297
1043;prepared;296
1044;trouble;296
1045;6;295
1046;distribution;295
1047;widow;295
1048;method;294
1049;structure;294
1050;beings;293
1051;greatest;293
1052;rule;293
1053;clearly;292
1054;safe;292
1055;building;290
1056;complete;290
1057;considerable;290
1058;leading;290
1059;mountains;290
1060;provide;290
1061;kings;289
1062;accepted;288
1063;lying;288
1064;phoebe;288
1065;silent;288
1066;running;287
1067;smile;287
1068;wind;287
1069;direct;286
1070;rich;286
1071;scene;286
1072;try;286
1073;loss;285
1074;logic;284
1075;space;284
1076;thee;284
1077;wemmick;284
1078;commanding;283
1079;sitting;283
1080;staff;283
1081;keeping;282
1082;mississippi;282
1083;permission;282
1084;tale;282
1085;broke;281
1086;coat;281
1087;feelings;281
1088;owner;281
1089;rear;281
1090;apparently;280
1091;couldn;280
1092;countenance;280
1093;expect;280
1094;explanation;280
1095;james;280
1096;occurred;280
1097;straight;280
1098;watch;280
1099;confidence;279
1100;dorothy;279
1101;instant;279
1102;provided;279
1103;america;278
1104;desire;278
1105;grave;278
1106;possessed;278
1107;reading;278
1108;ruth;278
1109;unknown;278
1110;conduct;277
1111;entire;277
1112;proceeded;277
1113;wizard;277
1114;wood;277
1115;goes;276
1116;nash;276
1117;portion;276
1118;believed;275
1119;lead;275
1120;savannah;275
1121;altogether;274
1122;copies;274
1123;sit;274
1124;breath;273
1125;composed;273
1126;otherwise;273
1127;required;273
1128;somewhat;273
1129;song;273
1130;doctrine;272
1131;http;272
1132;italian;272
1133;servant;272
1134;changed;271
1135;happiness;271
1136;relations;271
1137;soldiers;271
1138;thrown;271
1139;commanded;270
1140;estella;270
1141;fixed;270
1142;objects;270
1143;david;269
